FirstName,LastName,BloodGroup,Gender,Birthday,MotherTongue,Religion,Caste,Phone,City,State,PresentAddress,PermanentAddress,CategoryID,Roll,AdmissionDate,StudentEmail,StudentPassword,GuardianName,GuardianRelation,FatherName,MotherName,GuardianOccupation,GuardianMobileNo,GuardianAddress,GuardianEmail,GuardianPassword
Gates,Greenaway,O-,Polygender,"error: invalid date ""1900-01-01""",Malagasy,Islam,truck,972-872-8177,Colmeal,Coimbra,52 Dahle Way,6958 Little Fleur Park,1,274,"error: invalid date ""1900-01-01""",ggreenawaya@tmall.com,eot7iB0TKgh,Gates Greenaway,Grandparent,Gates Greenaway,Gates Greenaway,Payment Adjustment Coordinator,491-291-7389,61 Northridge Circle,ggreenawaya@archive.org,Ci4Khft
Flemming,Duthy,AB-,Male,"error: invalid date ""1900-01-01""",Bengali,Sikhism,truck,630-103-9274,Tapes,,333 Kensington Park,528 Green Ridge Place,3,256,"error: invalid date ""1900-01-01""",fduthyb@is.gd,axpQHkkz3,Flemming Duthy,Sibling,Flemming Duthy,Flemming Duthy,Recruiting Manager,844-220-0412,2 Shasta Pass,fduthyb@acquirethisname.com,SvNMHhiE5uv
Polly,Munden,B-,Female,"error: invalid date ""1900-01-01""",Punjabi,Judaism,bike,383-987-2416,Matias Olímpio,,7501 Magdeline Drive,6 Eastwood Parkway,2,569,"error: invalid date ""1900-01-01""",pmundenc@comcast.net,gpKVv5,Polly Munden,Grandparent,Polly Munden,Polly Munden,Data Coordinator,517-368-1131,2 Farmco Court,pmundenc@ning.com,d9LN5t2
Reyna,Fettes,O+,Female,"error: invalid date ""1900-01-01""",Armenian,Judaism,car,187-499-9348,Amparafaravola,,218 Cottonwood Place,24 Magdeline Trail,3,787,"error: invalid date ""1900-01-01""",rfettesd@wisc.edu,9I8dB0e4aaA9,Reyna Fettes,Father,Reyna Fettes,Reyna Fettes,Research Nurse,477-381-5774,8944 Mallory Terrace,rfettesd@youku.com,gZZDJns1
Rici,Ertel,A+,Female,"error: invalid date ""1900-01-01""",Northern Sotho,Hinduism,truck,453-220-7140,Renhe,,513 Bowman Place,7 International Point,3,355,"error: invalid date ""1900-01-01""",rertele@tripod.com,8Hbt0mDMKi4,Rici Ertel,Father,Rici Ertel,Rici Ertel,Research Associate,282-692-9228,5 Prairieview Road,rertele@google.pl,UgavOrQ6IT
Ellary,Fortey,O-,Male,"error: invalid date ""1900-01-01""",Lithuanian,Judaism,airplane,432-926-9441,Yuexi,,023 Colorado Court,43410 Kings Pass,1,76,"error: invalid date ""1900-01-01""",eforteyf@wikimedia.org,QbPQxVeK,Ellary Fortey,Father,Ellary Fortey,Ellary Fortey,Research Associate,280-650-3661,53509 Lerdahl Pass,eforteyf@symantec.com,Eda14ap
Beverley,Meiklejohn,O+,Female,"error: invalid date ""1900-01-01""",Dhivehi,Christianity,train,554-217-4094,Nowa Sarzyna,,64289 Jenifer Lane,3050 Forest Parkway,2,608,"error: invalid date ""1900-01-01""",bmeiklejohng@go.com,xOlzwIT27p,Beverley Meiklejohn,Mother,Beverley Meiklejohn,Beverley Meiklejohn,Associate Professor,691-600-1059,1166 Kings Trail,bmeiklejohng@cam.ac.uk,x3lQeksu
Krispin,Tidman,B-,Male,"error: invalid date ""1900-01-01""",Catalan,Sikhism,bus,474-607-2377,Borås,Västra Götaland,07 Mesta Park,29 Cambridge Circle,3,203,"error: invalid date ""1900-01-01""",ktidmanh@ocn.ne.jp,OKowdmxQIR,Krispin Tidman,Guardian,Krispin Tidman,Krispin Tidman,Research Assistant I,851-398-2329,958 Oriole Place,ktidmanh@yellowbook.com,iHWU1mW25r
Danny,Duffy,B-,Female,"error: invalid date ""1900-01-01""",Gujarati,Christianity,bike,316-610-8941,Jetafe,,18 Merchant Hill,373 Judy Parkway,2,976,"error: invalid date ""1900-01-01""",dduffyi@statcounter.com,O3Yvrc8,Danny Duffy,Mother,Danny Duffy,Danny Duffy,Safety Technician III,729-554-3359,0443 Nancy Court,dduffyi@meetup.com,Qhf3ubA8OG
Filbert,Dakin,AB-,Male,"error: invalid date ""1900-01-01""",Azeri,Judaism,bike,263-418-4687,Tutong,,47 Declaration Hill,6 Morningstar Crossing,1,612,"error: invalid date ""1900-01-01""",fdakinj@shutterfly.com,IJ0RbGnHCq4,Filbert Dakin,Guardian,Filbert Dakin,Filbert Dakin,Professor,878-215-8243,4659 Mendota Drive,fdakinj@lycos.com,XsS0PnDl9FH
